Counts,Incs,Mean,P25,Median,P75
2,2,64693,45529,83857,83857
2,4,20388,17995,22782,22782
2,8,39329,29528,49130,49130
2,16,22079,8637,35521,35521
2,32,15305,14505,16106,16106
2,64,18296,11484,25108,25108
2,128,28309,24603,32015,32015
2,256,29256,17990,40522,40522
2,512,13086,12654,13519,13519
2,1024,19265,12005,26525,26525
8,2,16370,13519,15175,16523
8,4,11919,11014,13010,13606
8,8,11550,9517,12017,14379
8,16,13882,12349,13536,16397
8,32,13365,12208,13311,15802
8,64,11728,10518,11595,14998
8,128,10833,8791,11220,14452
8,256,16161,14614,15249,18868
8,512,11969,11125,11634,13581
8,1024,14673,13375,14647,16073
32,2,16343,12332,14223,18696
32,4,12954,10987,12516,14535
32,8,16308,11601,15000,18794
32,16,12879,10998,12468,15050
32,32,12136,10080,11198,14856
32,64,13525,10413,11582,15022
32,128,14331,10535,12659,18524
32,256,14994,10874,13008,16000
32,512,12610,10029,12051,15157
32,1024,12627,10362,12418,14316
128,2,13851,11002,13437,15997
128,4,13796,11817,13113,15428
128,8,16075,11743,14591,18244
128,16,18254,12996,16001,22331
128,32,12726,8997,11903,15526
128,64,12339,9524,11996,14358
128,128,13064,9597,12521,15770
128,256,12072,8783,11591,14471
128,512,11336,7690,9589,13892
128,1024,13624,7814,10226,15000
512,2,16586,11112,14520,18248
512,4,10194,7994,9526,11991
512,8,9985,7548,9125,11063
512,16,11121,8093,10104,13000
512,32,10581,7997,9872,12518
512,64,10010,7521,9156,11045
512,128,10033,7528,9075,11005
512,256,9282,7005,8531,10497
512,512,6975,6042,6995,7402
512,1024,11996,6266,7526,16574
