Counts,Incs,Mean,P25,Median,P75     
10,10,3816,2042,3001,5555
10,100,2938,2020,2527,3176
10,1000,2974,2178,2998,3003
100,10,1421,951,1090,1905
100,100,1962,1006,1340,2171
100,1000,3301,2120,2774,3423
1000,10,3616,2104,2998,3999
1000,100,3001,2002,2562,3016
1000,1000,3637,2317,3003,4324
