Counts,Incs,Mean,P25,Median,P75
2,2,325915,168104,483726,483726
2,8,146613,128640,164587,164587
2,32,150848,111927,189769,189769
2,128,177245,176034,178457,178457
2,512,96526,33520,159533,159533
8,2,2466907,39002,44213,5263444
8,8,4332372,3238062,5318988,7365904
8,32,11962691,2403491,7349888,8694992
8,128,4771779,5261261,5316990,6317137
8,512,4190403,35001,2301154,11526258
32,2,4734491,36523,3180573,9436455
32,8,8504814,5354630,8378624,12189928
32,32,8614826,4482288,10576560,12501121
32,128,7382649,1271160,6335612,11530301
32,512,5308585,1185585,4389036,7904452
