Counts,Incs,Mean,P25,Median,P75
2,2,19762,4148,35376,35376
2,8,2027,512,3543,3543
2,32,1848,1010,2686,2686
2,128,1384,523,2245,2245
2,512,6339,5999,6679,6679
4,2,3338,3475,3518,3843
4,8,3688,3226,3998,4403
4,32,3599,2999,3712,5162
4,128,5791,4242,5994,9761
4,512,3915,3128,5000,5012
8,2,4593,2523,3269,8994
8,8,5421,2955,4853,9897
8,32,3657,2163,3514,5997
8,128,4220,3004,4521,5625
8,512,6424,3217,3521,6028
16,2,3357,2998,3401,3991
16,8,3370,2523,2998,3504
16,32,3068,2997,3012,3397
16,128,3289,2600,2830,3475
16,512,5122,3178,5048,6512
32,2,4354,2996,3994,5289
32,8,3497,2993,3420,4054
32,32,4159,3000,3715,4998
32,128,3627,2973,3143,4640
32,512,3686,2992,3176,4608
64,2,4561,2998,3618,5002
64,8,3569,2777,3152,3999
64,32,3778,2995,3412,4576
64,128,3288,2524,3001,3997
64,512,3950,2997,3522,4744
128,2,3831,2872,3519,4999
128,8,3697,2594,3140,4186
128,32,4003,2994,3518,4993
128,128,3775,2998,3287,4501
128,512,4062,2995,3525,5002
256,2,6457,3491,5659,8474
256,8,4429,3000,3747,5388
256,32,4030,2994,3234,5000
256,128,4111,2997,3482,4997
256,512,3801,2753,3035,4002
512,2,3267,2250,3000,3526
512,8,3263,2362,3000,3635
512,32,3230,2518,2999,3520
512,128,3158,2498,2999,3512
512,512,3904,2527,3034,4524
1024,2,3168,2513,2998,3632
1024,8,3236,2516,3000,3646
1024,32,3260,2520,2999,3484
1024,128,3648,2535,3005,4005
1024,512,3897,2584,3077,4444
