Counts,Incs,Mean,P25,Median,P75
2,2,41147,34616,47679,47679
2,8,19118,16004,22232,22232
2,32,18351,17024,19679,19679
2,128,12016,11547,12485,12485
2,512,13452,3215,23690,23690
4,2,3990,3010,3837,6540
4,8,5554,1321,2518,17328
4,32,8204,7004,8813,9999
4,128,5732,5775,7014,7102
4,512,4893,5258,5656,6897
8,2,6616,2162,8144,11165
8,8,6305,5073,7051,9067
8,32,6284,4237,7031,8553
8,128,6268,4346,7325,9153
8,512,7364,4291,8995,10564
16,2,5194,4322,5699,7518
16,8,4761,3034,5804,6923
16,32,4201,1572,5812,6611
16,128,4267,2383,5454,6171
16,512,5890,5203,5966,7002
32,2,7170,6206,7003,8237
32,8,6856,5858,7012,7998
32,32,7186,6519,7017,8073
32,128,5880,4993,6224,7054
32,512,6444,5531,6932,7570
64,2,6660,6004,6990,7731
64,8,7126,6523,7000,7996
64,32,6869,6121,6566,7523
64,128,7042,6022,6998,7957
64,512,7060,6009,6995,7842
128,2,8549,6121,7314,8094
128,8,7252,6179,7033,8002
128,32,6974,6014,6569,7251
128,128,8029,6005,7000,8235
128,512,9509,6672,8526,10360
256,2,8956,7049,8518,10219
256,8,9465,7444,8998,10518
256,32,8840,7106,8637,9999
256,128,9324,7316,9004,10446
256,512,8831,6448,7651,9995
512,2,7359,6000,6775,7994
512,8,6823,6003,6531,7058
512,32,7330,6032,6996,7528
512,128,7023,6003,6786,7199
512,512,8853,6862,8501,10031
1024,2,9135,7125,8996,10197
1024,8,8955,7018,8648,10126
1024,32,9713,7522,9054,10995
1024,128,9808,7137,8996,10664
1024,512,10032,7041,9005,11036
