Counts,Incs,Mean,P25,Median,P75
2,2,89965,56469,123462,123462
2,4,46139,42931,49347,49347
2,8,38287,37517,39057,39057
2,16,25407,12772,38042,38042
2,32,26391,14214,38568,38568
2,64,36509,36017,37001,37001
2,128,40165,39731,40599,40599
2,256,13032,12058,14006,14006
2,512,24021,14519,33524,33524
8,2,18981,12523,13232,34227
8,4,12878,12002,12622,13997
8,8,18030,12690,13003,32440
8,16,17201,13519,15428,19999
8,32,16137,13516,13991,14498
8,64,14695,13008,14526,15045
8,128,18213,13407,13528,16046
8,256,14378,13998,14962,15522
8,512,15286,14003,15001,16887
32,2,14147,13468,13998,15126
32,4,14511,12112,12999,14002
32,8,13157,12040,12991,13999
32,16,13333,12998,13042,14001
32,32,14668,12690,13278,14014
32,64,13878,12130,13372,14557
32,128,14362,12547,13716,15005
32,256,13291,13000,13075,13683
32,512,13921,12173,12994,13062
128,2,13252,12518,13004,13996
128,4,13536,12522,13066,13998
128,8,13221,12521,13000,13995
128,16,13202,12277,13004,13996
128,32,13848,12521,13068,14002
128,64,13981,12714,13171,14009
128,128,13751,12530,13126,14048
128,256,13794,12916,13515,14003
128,512,14765,12659,13215,14166
512,2,14030,12539,13278,14153
512,4,13931,12995,13532,14206
512,8,14084,12997,13516,14234
512,16,13940,12996,13525,14234
512,32,14177,12998,13539,14634
512,64,14219,12999,13756,14618
512,128,14132,12997,13838,14704
512,256,16827,14978,16128,17405
512,512,15911,13710,15067,17000
